Date,Close,bollinger_upper_band,bollinger_lower_band,bollinger_signal,bb_position
2017-11-14,39.7400016784668,38.274857365404486,33.175142253125784,-1.0,0
2017-11-15,40.65999984741211,38.79067893840194,33.47332061909317,-1.0,0
2017-11-16,41.900001525878906,39.3996231327342,33.842376684160335,-1.0,0
2017-11-17,44.18000030517578,40.28318222931112,34.126817618100986,-1.0,0
2017-11-20,45.209999084472656,41.19674178118519,34.481258096744504,-1.0,0
2017-11-21,48.060001373291016,42.449437987513825,34.763562119297696,-1.0,0
2017-11-22,48.810001373291016,43.62901950289127,35.17498058866147,-1.0,0
2017-11-24,48.86000061035156,44.67042633646084,35.60857375509189,-1.0,0
2017-11-27,41.02000045776367,44.81191758512534,36.04908247590981,0.0,0
2017-11-28,42.54999923706055,45.03178700353183,36.50921298120937,0.0,0
2017-11-29,39.130001068115234,45.064590830236185,36.670409398645646,0.0,0
2017-11-30,39.220001220703125,45.09409968164797,36.91590054723387,0.0,0
2017-12-01,38.220001220703125,45.091820646531865,37.13317973493786,0.0,0
2017-12-04,36.869998931884766,45.0919399638585,37.131060371834856,1.0,1
2017-12-05,37.599998474121094,45.09216015923022,37.17283999335767,0.0,1
2017-12-06,37.61000061035156,45.08956380271948,37.260436578750245,0.0,1
2017-12-07,38.72999954223633,45.094170968626955,37.457829458619145,0.0,1
2017-12-08,38.09000015258789,45.094834945131886,37.47016558892573,0.0,1
2017-12-11,38.29999923706055,45.080673576095315,37.393326973221086,0.0,1
2017-12-12,38.08000183105469,45.041452127092896,37.24254865110535,0.0,1
2017-12-13,36.189998626708984,45.00921965471979,36.91978081830266,1.0,1
2017-12-14,37.0099983215332,44.92239543514539,36.64160488528918,0.0,1
2017-12-15,37.029998779296875,44.7522390088315,36.32476103694487,0.0,1
2017-12-18,37.75,44.38330779793102,36.05069221732777,0.0,1
2017-12-19,36.91999816894531,43.85679117157267,35.748208752133394,0.0,1
2017-12-20,35.65999984741211,42.83586346045493,35.52913631066323,0.0,1
2017-12-21,35.869998931884766,41.46902590925306,35.60197361772448,0.0,1
2017-12-22,35.13999938964844,39.612095286824704,36.08690411808252,1.0,1
2017-12-26,35.04999923706055,39.252874811161945,35.84912447167497,1.0,1
2017-12-27,35.75,38.487772050250626,35.93422730888024,1.0,1
2017-12-28,35.130001068115234,38.28463506769366,35.7373642914372,1.0,1
2017-12-29,34.66999816894531,38.04812488883864,35.51887416511643,1.0,1
2018-01-02,36.16999816894531,37.905507653487504,35.456491095291796,0.0,1
2018-01-03,37.310001373291016,37.93501181185617,35.47098718106375,0.0,1
2018-01-04,38.099998474121094,37.98401096846028,35.471988024459634,-1.0,0
2018-01-05,41.13999938964844,38.49457563455274,35.31442323629687,-1.0,0
2018-01-08,40.7599983215332,38.773615674892234,35.23838307388706,-1.0,0
2018-01-09,40.880001068115234,39.103055717812715,35.18794312251932,-1.0,0
2018-01-10,40.84000015258789,39.38514799217895,35.15985093970581,-1.0,0
2018-01-11,42.29999923706055,39.873562835579456,35.09343583690589,-1.0,0
2018-01-12,41.25,40.247201440887274,35.22579736892718,-1.0,0
2018-01-16,39.31999969482422,40.38059106806201,35.32340787908155,0.0,0
2018-01-17,40.060001373291016,40.57072496443069,35.43627424211228,0.0,0
2018-01-18,40.27000045776367,40.74501526419963,35.51398398811971,0.0,0
2018-01-19,42.560001373291016,41.18879010868069,35.63420946407321,-1.0,0
2018-01-22,45.290000915527344,41.98509220745294,35.8009074721125,-1.0,0
2018-01-23,45.0099983215332,42.64083097517805,36.05916864335222,-1.0,0
2018-01-24,44.31999969482422,43.121853583488786,36.49614606555906,-1.0,0
2018-01-25,45.119998931884766,43.62923076777556,36.99576885075471,-1.0,0
2018-01-26,45.970001220703125,44.18725307824344,37.459746662357155,-1.0,0
2018-01-29,45.43000030517578,44.57058646194318,38.106413202363456,-1.0,0
2018-01-30,45.52000045776367,44.833351384393794,38.92864850879468,-1.0,0
2018-01-31,46.90999984741211,45.25125293253218,39.58474712850297,-1.0,0
2018-02-01,44.45000076293945,45.37061893297184,40.17938106702816,0.0,0
2018-02-02,43.61000061035156,45.40501531933506,40.695984894287996,0.0,0
2018-02-05,41.02000045776367,45.404287078356624,40.68471324207794,0.0,0
2018-02-06,41.61000061035156,45.41085830540741,40.763142243908995,0.0,0
2018-02-07,41.66999816894531,45.41734979387767,40.835650465521745,0.0,0
2018-02-08,39.5,45.438636326644016,40.68036391749661,1.0,1
2018-02-09,39.56999969482422,45.42323823131351,40.422762058603475,1.0,1
2018-02-12,39.91999816894531,45.420453265682305,40.292546841129216,1.0,1
2018-02-13,42.11000061035156,45.43001872555338,40.56198147281087,0.0,1
2018-02-14,41.849998474121094,45.43740303048115,40.73359687796612,0.0,1
2018-02-15,44.290000915527344,45.55543525360369,41.01756470061994,0.0,1
2018-02-16,44.11000061035156,45.63328578395434,41.09471409397535,0.0,1
2018-02-20,44.93000030517578,45.60058475811185,41.09141505878269,0.0,1
2018-02-21,44.099998474121094,45.52876478475311,41.07223504740021,0.0,1
2018-02-22,44.900001525878906,45.57543584199037,41.083564173268414,0.0,1
2018-02-23,44.86000061035156,45.552256097095395,41.08074408601007,0.0,1
2018-02-26,46.54999923706055,45.62089610602607,41.07010387871514,-1.0,0
2018-02-27,45.90999984741211,45.670427928522166,41.06857201044267,-1.0,0
2018-02-28,46.04999923706055,45.725868879454815,41.066130937439716,-1.0,0
2018-03-01,46.0099983215332,45.61724865732738,41.08475100697926,-1.0,0
