Date,Close,trend_aroon_up,trend_aroon_down,aroon_signal,aroon_position
2019-01-11,66.2300033569336,100.0,52.0,0,0
2019-01-14,65.18000030517578,96.0,48.0,0,0
2019-01-15,65.95999908447266,92.0,44.0,0,0
2019-01-16,65.9000015258789,88.0,40.0,0,0
2019-01-17,68.83999633789062,100.0,36.0,0,0
2019-01-18,72.23999786376953,100.0,32.0,0,0
2019-01-22,67.8499984741211,96.0,28.000000000000004,1,1
2019-01-23,69.0999984741211,92.0,24.0,0,1
2019-01-24,73.94000244140625,100.0,20.0,0,1
2019-01-25,77.97000122070312,100.0,16.0,0,1
2019-01-28,76.22000122070312,96.0,12.0,0,1
2019-01-29,68.55999755859375,92.0,8.0,0,1
2019-01-30,71.52999877929688,88.0,4.0,0,1
2019-01-31,71.3499984741211,84.0,24.0,0,1
2019-02-01,70.80000305175781,80.0,20.0,0,1
2019-02-04,71.75,76.0,16.0,0,1
2019-02-05,72.27999877929688,72.0,12.0,0,1
2019-02-06,72.66999816894531,68.0,8.0,0,1
2019-02-07,71.94999694824219,64.0,4.0,0,1
2019-02-08,73.48999786376953,60.0,4.0,0,1
2019-02-11,74.31999969482422,56.00000000000001,4.0,0,1
2019-02-12,75.58999633789062,52.0,4.0,0,1
2019-02-13,75.62999725341797,48.0,16.0,0,1
2019-02-14,75.66999816894531,44.0,12.0,0,1
2019-02-15,75.63999938964844,40.0,8.0,0,1
2019-02-19,76.63999938964844,36.0,4.0,0,1
2019-02-20,75.97000122070312,32.0,8.0,0,1
2019-02-21,74.43000030517578,28.000000000000004,4.0,0,1
2019-02-22,76.08000183105469,24.0,12.0,0,1
2019-02-25,77.12999725341797,20.0,8.0,0,1
2019-02-26,77.94999694824219,16.0,4.0,0,1
2019-02-27,79.31999969482422,100.0,20.0,0,1
2019-02-28,81.23999786376953,100.0,16.0,0,1
2019-03-01,77.45999908447266,96.0,12.0,0,1
2019-03-04,74.69000244140625,92.0,8.0,0,1
2019-03-05,76.04000091552734,88.0,4.0,0,1
2019-03-06,75.13999938964844,84.0,12.0,0,1
2019-03-07,74.11000061035156,80.0,8.0,0,1
2019-03-08,74.4000015258789,76.0,4.0,0,1
2019-03-11,75.52999877929688,72.0,4.0,0,1
2019-03-12,76.7699966430664,68.0,12.0,0,1
2019-03-13,77.8499984741211,64.0,8.0,0,1
2019-03-14,77.37999725341797,60.0,4.0,0,1
2019-03-15,76.6500015258789,56.00000000000001,4.0,0,1
2019-03-18,75.2300033569336,52.0,72.0,0,1
2019-03-19,76.80999755859375,48.0,68.0,0,1
2019-03-20,75.26000213623047,44.0,64.0,0,1
2019-03-21,78.52999877929688,40.0,60.0,0,1
2019-03-22,75.08999633789062,36.0,56.00000000000001,0,1
2019-03-25,74.55000305175781,32.0,52.0,0,1
2019-03-26,73.93000030517578,28.000000000000004,100.0,-1,0
2019-03-27,72.97000122070312,24.0,100.0,0,0
2019-03-28,74.26000213623047,20.0,96.0,0,0
2019-03-29,74.91999816894531,16.0,92.0,0,0
2019-04-01,76.31999969482422,12.0,88.0,0,0
2019-04-02,75.5999984741211,8.0,84.0,0,0
2019-04-03,77.05000305175781,4.0,80.0,0,0
2019-04-04,74.5199966430664,60.0,76.0,0,0
2019-04-05,75.02999877929688,56.00000000000001,72.0,0,0
2019-04-08,75.0,52.0,68.0,0,0
2019-04-09,74.5999984741211,48.0,64.0,0,0
2019-04-10,74.73999786376953,44.0,60.0,0,0
2019-04-11,75.5,40.0,56.00000000000001,0,0
2019-04-12,75.27999877929688,36.0,52.0,0,0
2019-04-15,74.38999938964844,32.0,48.0,0,0
2019-04-16,73.48999786376953,28.000000000000004,44.0,0,0
2019-04-17,72.76000213623047,24.0,100.0,0,0
2019-04-18,70.73999786376953,20.0,100.0,0,0
2019-04-22,72.58000183105469,16.0,96.0,0,0
2019-04-23,72.44999694824219,12.0,92.0,0,0
2019-04-24,71.98999786376953,8.0,88.0,0,0
2019-04-25,72.6500015258789,4.0,84.0,0,0
2019-04-26,71.55000305175781,36.0,80.0,0,0
2019-04-29,72.72000122070312,32.0,76.0,0,0
2019-04-30,72.81999969482422,28.000000000000004,72.0,0,0
2019-05-01,73.62000274658203,24.0,68.0,0,0
2019-05-02,67.73999786376953,20.0,100.0,0,0
2019-05-03,68.5199966430664,16.0,96.0,0,0
2019-05-06,70.13999938964844,12.0,92.0,0,0
2019-05-07,68.41999816894531,8.0,88.0,0,0
2019-05-08,67.25,4.0,100.0,0,0
2019-05-09,66.38999938964844,24.0,100.0,0,0
