Date,Close,ao,ao_signal,ao_position
2020-09-15,154.5,-3.6602056839886643,0,0
2020-09-16,151.0500030517578,-2.223823726878436,0,0
2020-09-17,145.63999938964844,-1.6565012763528273,0,0
2020-09-18,145.00999450683594,-0.9092373567468996,0,0
2020-09-21,151.1199951171875,0.05582163193648171,1,1
2020-09-22,155.58999633789062,0.3209392323213365,0,1
2020-09-23,149.58999633789062,-0.03664986105528101,-1,0
2020-09-24,152.30999755859375,0.46449647791246207,1,1
2020-09-25,157.72000122070312,2.2729381785673297,0,1
2020-09-28,160.75999450683594,4.038527051140278,0,1
2020-09-29,164.80999755859375,5.21893893971162,0,1
2020-09-30,162.5500030517578,6.700322139964385,0,1
2020-10-01,168.49000549316406,8.896235342586749,0,1
2020-10-02,169.61000061035156,10.92455964929917,0,1
2020-10-05,180.9199981689453,13.304707067153032,0,1
2020-10-06,175.33999633789062,15.598118995217732,0,1
2020-10-07,180.17999267578125,17.618382532456337,0,1
2020-10-08,183.5,20.0375280492446,0,1
2020-10-09,187.27999877929688,22.425821551154627,0,1
2020-10-12,185.1699981689453,23.65370375689338,0,1
2020-10-13,190.47000122070312,24.579204155417045,0,1
2020-10-14,187.49000549316406,25.80526473101449,0,1
2020-10-15,188.60000610351562,26.064795954087202,0,1
2020-10-16,186.35000610351562,25.549297018612123,0,1
2020-10-19,186.9600067138672,24.78500415577608,0,1
2020-10-20,185.74000549316406,23.807475864186017,0,1
2020-10-21,177.82000732421875,21.8671822940602,0,1
2020-10-22,175.92999267578125,19.074210626938765,0,1
2020-10-23,176.77000427246094,16.063179734173957,0,1
2020-10-26,169.88999938964844,12.498767000086161,0,1
2020-10-27,171.02000427246094,8.472854434742658,0,1
2020-10-28,167.1300048828125,5.154354140337773,0,1
2020-10-29,169.86000061035156,2.618501730526191,0,1
2020-10-30,154.8800048828125,-0.8082329245174549,-1,0
2020-11-02,155.22999572753906,-4.628086269603045,0,0
2020-11-03,158.2100067138672,-7.491115794462303,0,0
2020-11-04,171.2899932861328,-8.838616674086609,0,0
2020-11-05,175.22999572753906,-8.707235897288598,0,0
2020-11-06,198.0800018310547,-4.985236807430482,0,0
2020-11-09,184.0800018310547,1.110204494700696,1,1
2020-11-10,172.0,4.625674887264466,0,1
2020-11-11,183.4199981689453,6.430615817799293,0,1
2020-11-12,178.50999450683594,7.2083809796501725,0,1
2020-11-13,177.19000244140625,4.900027959487005,0,1
2020-11-16,179.16000366210938,1.866380938361658,0,1
2020-11-17,187.89999389648438,2.3805570265826077,0,1
2020-11-18,185.5399932861328,3.55902683033662,0,1
2020-11-19,191.66000366210938,4.511027392219091,0,1
2020-11-20,195.97000122070312,7.158439860624412,0,1
2020-11-23,207.77999877929688,11.200056816549846,0,1
2020-11-24,202.89999389648438,14.750879803825825,0,1
2020-11-25,212.9199981689453,18.222115595200478,0,1
2020-11-27,212.52000427246094,22.242292561250594,0,1
2020-11-30,210.9600067138672,25.076851788689112,0,1
2020-12-01,203.0,25.53432294060204,0,1
2020-12-02,202.0,24.568676712933723,0,1
2020-12-03,205.52999877929688,23.277324631634883,0,1
2020-12-04,208.14999389648438,21.531765118767225,0,1
2020-12-07,212.5800018310547,20.55941090303307,0,1
2020-12-08,213.00999450683594,20.94461598115808,0,1
2020-12-09,207.0399932861328,21.618879834343403,0,1
2020-12-10,217.25,22.257526442583867,0,1
2020-12-11,216.58999633789062,23.08029152365293,0,1
2020-12-14,215.86000061035156,22.990674097397743,0,1
2020-12-15,219.99000549316406,22.620498567468957,0,1
2020-12-16,227.0800018310547,23.720735841638884,0,1
2020-12-17,230.74000549316406,25.296825453814336,0,1
2020-12-18,235.4499969482422,26.451679050221173,0,1
2020-12-21,233.5,27.76579675113456,0,1
2020-12-22,241.5800018310547,29.31173750933479,0,1
2020-12-23,230.67999267578125,29.731324543672457,0,1
2020-12-24,228.27999877929688,28.191793509090644,0,1
2020-12-28,223.33999633789062,25.583175165512984,0,1
2020-12-29,214.0,21.610704623951648,0,1
2020-12-30,221.0399932861328,16.445527424531832,0,1
2020-12-31,217.63999938964844,11.863115557502283,0,1
2021-01-04,221.16000366210938,8.716675388111781,0,1
2021-01-05,229.75,7.245529085047082,0,1
2021-01-06,226.88999938964844,7.70067654777975,0,1
2021-01-07,239.47999572753906,9.373235590317677,0,1
2021-01-08,241.4499969482422,12.017500215418181,0,1
2021-01-11,225.5,13.512646663890166,0,1
2021-01-12,227.52000427246094,12.762029086842261,0,1
2021-01-13,230.9199981689453,12.13776465023264,0,1
2021-01-14,232.7899932861328,11.091911360796757,0,1
2021-01-15,227.75,8.395264345056859,0,1
2021-01-19,227.25999450683594,6.766411276424634,0,1
2021-01-20,226.64999389648438,6.407910021613617,0,1
2021-01-21,219.6199951171875,4.715761880313636,0,1
2021-01-22,222.8800048828125,2.0432921465705363,0,1
2021-01-25,216.63999938964844,-0.5291480120490348,-1,0
2021-01-26,209.1699981689453,-3.6275301316205173,0,0
2021-01-27,202.4600067138672,-7.721705088895902,0,0
2021-01-28,219.91000366210938,-10.064350217931434,0,0
2021-01-29,215.9600067138672,-10.959996571260348,0,0
2021-02-01,221.94000244140625,-11.322143375172345,0,0
2021-02-02,227.6300048828125,-9.177466089585266,0,0
2021-02-03,227.94000244140625,-5.123465998032515,0,0
2021-02-04,237.72000122070312,-1.232848986457384,0,0
2021-02-05,240.3800048828125,2.5338270748362675,1,1
2021-02-08,259.9700012207031,8.153385611141431,0,1
2021-02-09,258.1199951171875,14.242149308148555,0,1
2021-02-10,257.489990234375,19.559970810834102,0,1
2021-02-11,265.92999267578125,24.625086660946124,0,1
2021-02-12,272.75,29.70632063921758,0,1
2021-02-16,276.0199890136719,33.227583672018625,0,1
2021-02-17,270.94000244140625,34.7125244140625,0,1
2021-02-18,270.8500061035156,35.79449714211853,0,1
2021-02-19,276.57000732421875,36.54185283885283,0,1
2021-02-22,268.0799865722656,35.580470590030444,0,1
2021-02-23,256.5899963378906,31.907676158231823,0,1
2021-02-24,237.32000732421875,25.970324437758507,0,1
2021-02-25,227.11000061035156,18.119765427533338,0,1
2021-02-26,230.02999877929688,9.227499255012049,0,1
2021-03-01,241.0,2.0110878888298487,0,1
2021-03-02,252.1999969482422,-1.5219401191262705,-1,0
2021-03-03,234.1999969482422,-2.763823296042034,0,0
2021-03-04,218.41000366210938,-3.8600887074189814,0,0
2021-03-05,216.44000244140625,-5.664676486744611,0,0
2021-03-08,201.8699951171875,-10.315647259880507,0,0
2021-03-09,225.08999633789062,-16.52714776431813,0,0
2021-03-10,226.72999572753906,-19.954412707160486,0,0
2021-03-11,241.72000122070312,-18.69658966064452,0,0
