Date,Close,RSI,rsi_signal,rsi_position
2021-01-29,215.9600067138672,47.26079039193631,0,1
2021-02-01,221.94000244140625,51.054216861627346,0,1
2021-02-02,227.6300048828125,54.41410487863555,0,1
2021-02-03,227.94000244140625,54.5969674768791,0,1
2021-02-04,237.72000122070312,60.04269379410772,0,1
2021-02-05,240.3800048828125,61.398818613422414,0,1
2021-02-08,259.9700012207031,69.58569395976552,0,1
2021-02-09,258.1199951171875,68.11645277125322,0,1
2021-02-10,257.489990234375,67.59305646334218,0,1
2021-02-11,265.92999267578125,70.82707125946378,-1,0
2021-02-12,272.75,73.15808275534569,0,0
2021-02-16,276.0199890136719,74.22165160477672,0,0
2021-02-17,270.94000244140625,69.6073285541335,0,0
2021-02-18,270.8500061035156,69.52486453641589,0,0
2021-02-19,276.57000732421875,71.81072344858173,0,0
2021-02-22,268.0799865722656,64.12272858220044,0,0
2021-02-23,256.5899963378906,55.467854712241824,0,0
2021-02-24,237.32000732421875,44.59625145335619,0,0
2021-02-25,227.11000061035156,40.11045969058301,0,0
2021-02-26,230.02999877929688,41.910087560489224,0,0
2021-03-01,241.0,48.206792178080214,0,0
2021-03-02,252.1999969482422,53.72224067861916,0,0
2021-03-03,234.1999969482422,45.36166317062805,0,0
2021-03-04,218.41000366210938,39.547405437954424,1,1
2021-03-05,216.44000244140625,38.87786479035514,0,1
2021-03-08,201.8699951171875,34.25828448253715,0,1
2021-03-09,225.08999633789062,45.394202437696414,0,1
2021-03-10,226.72999572753906,46.08879505042148,0,1
2021-03-11,241.72000122070312,52.087813344619676,0,1
2021-03-12,242.11000061035156,52.23672957097785,0,1
2021-03-15,251.22999572753906,55.70391253613921,0,1
2021-03-16,243.36000061035156,52.1835995515499,0,1
2021-03-17,246.47000122070312,53.435925129481454,0,1
2021-03-18,224.3000030517578,44.49055935995483,0,1
2021-03-19,224.83999633789062,44.733240573103274,0,1
2021-03-22,226.1300048828125,45.347942721970924,0,1
2021-03-23,223.1999969482422,44.14689089850852,0,1
2021-03-24,213.50999450683594,40.34152643779445,0,1
2021-03-25,208.47000122070312,38.483460968525414,0,1
2021-03-26,213.60000610351562,41.439991190229975,0,1
2021-03-29,207.17999267578125,38.919089323502256,0,1
2021-03-30,212.8300018310547,42.248718073352315,0,1
2021-03-31,227.0500030517578,49.683017717411154,0,1
2021-04-01,229.50999450683594,50.86148918383657,0,1
2021-04-05,229.9499969482422,51.08217670667535,0,1
2021-04-06,236.5,54.36766257733201,0,1
2021-04-07,245.1199951171875,58.33379013499572,0,1
2021-04-08,258.3699951171875,63.5745306908697,0,1
2021-04-09,261.6499938964844,64.75629984027168,0,1
2021-04-12,265.20001220703125,66.04049331709079,0,1
2021-04-13,273.2300109863281,68.80901319613261,0,1
2021-04-14,258.3999938964844,59.20875224548434,0,1
2021-04-15,263.0799865722656,61.05535574712706,0,1
2021-04-16,256.1000061035156,56.91687064523587,0,1
2021-04-19,245.3300018310547,51.1551363324414,0,1
2021-04-20,245.5,51.239043195391595,0,1
2021-04-21,245.25,51.10002228745691,0,1
2021-04-22,245.11000061035156,51.01654641215603,0,1
2021-04-23,246.42999267578125,51.81578155682658,0,1
2021-04-26,255.77000427246094,57.14416980417195,0,1
2021-04-27,253.7899932861328,55.737022144875695,0,1
2021-04-28,254.1999969482422,55.97875455914132,0,1
2021-04-29,247.75999450683594,51.24477047984144,0,1
2021-04-30,244.82000732421875,49.19923959976022,0,1
2021-05-03,243.67999267578125,48.392589799547174,0,1
2021-05-04,231.19000244140625,40.548572239341304,0,1
2021-05-05,231.8699951171875,41.108253729877816,0,1
2021-05-06,223.9600067138672,36.77166492115256,0,1
2021-05-07,233.35000610351562,44.2855029844679,0,1
2021-05-10,216.42999267578125,35.98675471216909,0,1
2021-05-11,220.64999389648438,39.054297663599435,0,1
2021-05-12,206.6699981689453,33.35231450705788,0,1
2021-05-13,197.1300048828125,30.12050966008816,0,1
2021-05-14,207.85000610351562,37.45459574853764,0,1
2021-05-17,202.9199981689453,35.60391504179529,0,1
2021-05-18,203.16000366210938,35.770302469299736,0,1
2021-05-19,200.11000061035156,34.54862765969959,0,1
2021-05-20,204.91000366210938,38.129918699836054,0,1
2021-05-21,200.00999450683594,35.9664129821371,0,1
