Date,Close,trend_aroon_up,trend_aroon_down,aroon_signal,aroon_position,macd,signal,macd_signal,macd_position,RSI,rsi_signal,rsi_position
2020-06-18,98.2699966430664,100.0,12.0,0,1,5.674107281279689,5.333864325894412,0,1,71.38956651353237,0,0
2020-06-19,97.9800033569336,96.0,8.0,0,1,5.80376810672648,5.427845082060825,0,1,70.72592985942174,0,0
2020-06-22,104.22000122070312,100.0,4.0,0,1,6.336992023411668,5.609674470330995,0,1,75.91435035227276,0,0
2020-06-23,104.75,100.0,4.0,0,1,6.724822720890572,5.83270412044291,0,1,76.29858928276269,0,0
2020-06-24,100.87999725341795,96.0,24.0,0,1,6.64332435627189,5.9948281676087065,0,1,67.7939651738237,0,0
2020-06-25,104.77999877929688,100.0,20.0,0,1,6.814876193962448,6.158837772879455,0,1,71.26948816058791,0,0
2020-06-26,104.3000030517578,96.0,16.0,0,1,6.833330240167456,6.293736266337056,0,1,70.26446532192662,0,0
2020-06-29,103.68000030517578,92.0,12.0,0,1,6.7204569206273135,6.379080397195107,0,1,68.91266586684193,0,0
2020-06-30,104.94000244140624,100.0,8.0,0,1,6.655949995437595,6.434454316843604,0,1,70.16872667220791,0,0
2020-07-01,115.9000015258789,100.0,4.0,0,1,7.403861020954139,6.628335657665712,0,1,78.35941087971575,0,0
2020-07-02,113.38999938964844,96.0,4.0,0,1,7.705228622432159,6.843714250619002,0,1,73.38969318434181,0,0
2020-07-06,118.97000122070312,100.0,4.0,0,1,8.298662318119497,7.134703864119102,0,1,76.89756172388867,0,0
2020-07-07,125.5999984741211,100.0,32.0,0,1,9.197920267228454,7.547347144740972,0,1,80.23198139259571,0,0
2020-07-08,133.35000610351562,100.0,28.000000000000004,0,1,10.415881716114768,8.121054059015732,0,1,83.27142951942692,0,0
2020-07-09,129.38999938964844,96.0,24.0,0,1,10.935527538311334,8.683948754874852,0,1,76.77561832945122,0,0
2020-07-10,128.0500030517578,92.0,20.0,0,1,11.11114176477821,9.169387356855523,0,1,74.65345095400315,0,0
2020-07-13,118.6500015258789,88.0,16.0,0,1,10.372250888694635,9.409960063223346,0,1,61.75745968412581,0,0
2020-07-14,121.23999786376952,84.0,12.0,0,1,9.881754885797704,9.50431902773822,0,1,63.622113503004975,0,0
2020-07-15,122.1999969482422,80.0,8.0,0,1,9.461431677892818,9.49574155776914,-1,0,64.31661608787635,0,0
2020-07-16,119.9499969482422,76.0,4.0,0,1,8.844808860555474,9.365555018326408,0,0,61.359849309628814,0,0
